Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19179413673,"Jul 4, 2026, 4:08:45 PM",IM113 Swim leg,Swim,"",3369,"1,900",,,false,,,,,,3369.0,3369.0,1900.0,,0.564,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.564,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/ffda3a24-648b-4f43-9498-4b2b324bbd82.jpg|media/59069955-36f6-4899-ba04-57a5f365720a.jpg|media/1038c775-808e-4321-baa7-a0fe11f800b2.jpg
19178108078,"Jul 4, 2026, 11:35:59 AM",IM113 Bike Leg,Ride,"",12117,90.00,,,false,,,,,9.0,12117.0,12117.0,90000.0,,7.428,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.428,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/36cfbf15-fea4-464c-91fd-a7928aaf0705.jpg|media/2071a4ee-9318-44ff-b40a-5f06b27edf64.jpg|media/d4dcc80e-8b90-4f19-8356-87ef29c7c673.jpg|media/62afcf58-b775-42eb-97ad-3553ba6cdf76.jpg|media/15461eab-16bc-410b-87a0-196e919631a1.jpg|media/14d627b0-8bdf-48ff-a35b-28a909e1535b.jpg|media/b1342f31-384c-4537-82da-922a6df09ade.jpg|media/4ced9e1e-7e03-448f-ad52-3db09a858a2a.jpg|media/ff181f56-c292-4812-a9ea-06fda81d93c6.jpg|media/fefda584-6971-4458-b76b-da01aacb5c7c.jpg|media/9c592a1a-be02-4c8e-8894-6ec931e0f1ad.jpg|media/efaa657d-ae29-48e8-accf-a74027c1c144.mp4
19174947319,"Jul 4, 2026, 8:25:12 AM",IM113 Run Leg,Run,"",8795,21.12,,,false,,,activities/19174947319.gpx,,,8795.0,7465.0,21121.2,6.296,2.829,36.3,35.9,76.1,88.9,11.9,0.0,,,,,,,,,1457.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,21177.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.402,865.7,,,,,0.0,,,,2.837,,,,,,,,,,,,media/bcb0c9aa-67de-4802-9868-6c0bff0efc5e.jpg|media/58a25ee2-4b43-4c54-ba9e-3e2277a21476.jpg|media/a53ff015-9dac-4ebe-8d4a-700505769e74.jpg|media/7d85e81e-fce3-4d9d-b240-d26e93903593.jpg|media/384d357c-c2f0-427b-81a9-53f807dbff21.jpg|media/95ca3e88-9ff7-4254-93aa-661ba55ecb46.jpg|media/af26012a-3d31-4068-8f93-72e98e4e696d.jpg
19158110783,"Jul 2, 2026, 11:59:59 PM",Evening Run,Run,"",490,1.36,,,false,,,activities/19158110783.gpx,,,490.0,418.0,1364.8,9.862,3.265,0.0,8.2,82.1,90.9,3.0,-0.5,,,,,,,,,93.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,1355.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.785,0.0,,,,,0.0,,,,3.242,,,,,,,,,,,,""
19145699429,"Jul 2, 2026, 3:29:09 AM",Forgot to end . . .,Run,"",2985,4.42,,,false,,,activities/19145699429.gpx,,,2985.0,2099.0,4425.4,11.14,2.108,12.9,4.4,80.1,88.6,5.3,0.2,,,,,,,,,306.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,4448.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1.483,25.3,,,,,0.0,,,,2.119,,,,,,,,,,,,""
19145482907,"Jul 2, 2026, 2:42:09 AM",Night Walk,Walk,"",2806,2.33,,,false,,,activities/19145482907.gpx,,,2806.0,1765.0,2329.0,3.22,1.32,2.5,0.0,77.5,80.0,1.6,0.0,,,,,,,,,160.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19145991816,"Jul 1, 2026, 9:36:20 PM",Afternoon Activity,Workout,"",2400,0,,,false,,,,,,2400.0,2400.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19131472210,"Jul 1, 2026, 12:11:02 AM",Evening Swim,Swim,"",3600,"2,000",,,false,,,,,,3600.0,3600.0,2000.0,,0.556,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/5f7d66bf-d4ad-4c2f-9bb4-e55317e5a51d.jpg
19118668868,"Jun 30, 2026, 2:54:32 AM",Night Activity,Workout,"",2700,0,,,false,,,,,,2700.0,2700.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19118663967,"Jun 30, 2026, 2:23:16 AM",fun game of am I really injured (yes),Run,"",495,1.39,,,false,,,activities/19118663967.gpx,,,495.0,479.0,1397.8,4.3,2.918,5.9,2.8,86.6,89.9,2.5,0.1,,,,,,,,,97.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,1403.1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.824,0.0,,,,,0.0,,,,2.929,,,,,,,,,,,,""
19088256687,"Jun 27, 2026, 1:21:18 PM",Sunnyside beach FRC 27,Run,"",11930,21.19,,,false,,,activities/19088256687.gpx,,,11930.0,6944.0,21193.2,15.94,3.052,38.6,37.5,76.4,90.6,7.2,0.0,,,,,,,,,1461.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,21236.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1.776,646.8,,,,,0.0,,,,3.058,,,,,,,,,,,,media/78d32b18-3c96-4cb9-9391-95a477bd7c5e.jpg|media/12c95d82-b534-4dd4-8c6d-c10f210c1e77.jpg|media/9f21249a-30a6-4307-aed5-ce83bd47b005.jpg|media/6175d841-e215-4276-bb64-6cba6b857d72.jpg|media/6da32d2c-c913-4404-91bc-51ad26c5ebbe.jpg
19075831499,"Jun 26, 2026, 4:13:25 PM",Lunch run,Run,barely made it back for the meeting -,2565,5.52,,,false,,,activities/19075831499.gpx,,,2565.0,1718.0,5527.8,8.28,3.218,12.8,11.5,76.7,89.6,6.3,0.0,,,,,,,,,381.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5539.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.155,9.8,,,,,0.0,,,,3.224,,,,,,,,,,,,media/1bbb4d31-9853-41b6-a13b-a2baa6560054.jpg
19075346084,"Jun 25, 2026, 11:29:38 PM",Evening Run,Run,"",5382,10.35,,,false,,,activities/19075346084.gpx,,,5382.0,3312.0,10352.6,5.201,3.126,15.2,15.2,75.1,88.8,5.2,0.0,,,,,,,,,713.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,10369.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.924,320.7,,,,,0.0,,,,3.131,,,,,,,,,,,,""
19073013399,"Jun 25, 2026, 11:13:58 PM",Evening Run,Run,"",3275,10.40,,,false,,,,,,3275.0,3275.0,10400.0,,3.176,,,,,,0.0,,,,,,,,,716.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.176,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/e507bd61-7312-4a3e-b186-3372c01f10aa.jpg|media/7216f276-be58-48d0-befc-1541eec07849.jpg
19073049960,"Jun 25, 2026, 8:40:47 PM",Afternoon Activity,Workout,"",2400,0,,,false,,,,,,2400.0,2400.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/f5aa0113-2849-47b6-bf1e-43452d351142.jpg
19073030654,"Jun 25, 2026, 7:47:26 PM",Afternoon Ride,Ride,"",1735,13.50,,,false,,,,,9.0,1735.0,1735.0,13500.0,,7.781,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.781,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/069e602a-d0a3-4fd5-b73c-442679883626.jpg
19056858309,"Jun 25, 2026, 2:44:26 AM",night treadmill 3k,Run,"",966,3.00,,,false,,,,,,966.0,966.0,3000.0,,3.106,0.0,,,,,0.0,,,,,,,,,206.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.106,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19004071859,"Jun 20, 2026, 10:35:52 PM",AMP,Run,"",8403,15.28,,,false,,,activities/19004071859.gpx,,,8403.0,5095.0,15282.7,7.02,3.0,21.4,21.2,76.6,92.8,22.0,0.0,,,,,,,,,1054.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,15312.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.819,145.0,,,,,0.0,,,,3.005,,,,,,,,,,,,media/6d3b1270-2c0f-4997-a31c-d9702e237748.jpg|media/9473d468-bc13-436b-9cba-cc59fae9f044.jpg|media/ea2b31a5-894a-4099-a258-879ace002866.jpg|media/62059a83-39b6-414a-b182-953b20ff587a.jpg|media/22d79113-f8e8-4265-968f-6ac4fab0fef2.jpg|media/80fcdcd9-9ef5-4c9e-b456-9ca970538e93.jpg|media/43591dc9-69e1-4901-97e8-d4b659a39709.jpg
18986031951,"Jun 19, 2026, 4:00:31 PM",Kunyuan send off,Run,"",632,2.00,,,false,,,,,,632.0,632.0,2000.0,,3.165,0.0,,,,,0.0,,,,,,,,,138.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.165,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/ea0ce709-ab8e-4325-a996-2c44180225a8.jpg|media/8e21e3e7-5bb5-4f2e-b04d-2b66c12a9dae.jpg
18979567718,"Jun 18, 2026, 11:47:44 PM",Breather,Run,"",3528,5.38,,,false,,,activities/18979567718.gpx,,,3528.0,1564.0,5386.4,9.84,3.444,14.1,11.5,76.9,91.2,32.2,0.1,,,,,,,,,372.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5408.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.527,11.6,,,,,0.0,,,,3.458,,,,,,,,,,,,media/654a582b-b2b6-4fb5-9973-f5963467f059.jpg
18966424949,"Jun 18, 2026, 3:19:52 AM",post 100k bike 🧱 brick run 1k,Run,"",300,0.99,,,false,,,,,,300.0,300.0,996.7,,3.322,,,,,,0.0,,,,,,,,,69.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.322,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/44d9667b-fce0-4cae-ad3a-1b903a15d30f.jpg
18966417637,"Jun 17, 2026, 11:29:32 PM",Pain cave,Ride,"",13063,100.26,,,false,,,,,9.0,13063.0,13063.0,100262.1,,7.675,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.675,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/6926cd7f-42be-4413-861e-ad81a3d55394.jpg|media/7401e1ff-3b3b-4f4d-964b-094a89a1edb1.jpg|media/fcd8a6af-4206-4a77-865b-408a092b5f03.jpg|media/9d74b66a-d4ba-4c99-8693-394022ea491b.jpg|media/c71b7542-1420-4c6f-845b-7549325f14a6.jpg|media/0fd789a2-3ad5-4b11-a2b2-014f9df0195a.jpg|media/a2702756-5cf1-4e30-bf82-533caca23849.jpg|media/0392c2f6-4a13-4537-9850-1977b3ce2167.jpg|media/fc1cc680-fccc-4b5e-af8b-1ecfc644316b.jpg
18944083726,"Jun 15, 2026, 11:55:01 AM",🌅,Run,"",1250,3.97,,,false,,,activities/18944083726.gpx,,,1250.0,1192.0,3970.2,6.78,3.331,22.7,23.1,88.5,111.7,3.1,0.0,,,,,,,,,274.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,3986.1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.176,0.0,,,,,0.0,,,,3.344,,,,,,,,,,,,""
18911067937,"Jun 14, 2026, 12:30:00 AM",Night ride while finishing an assignment,Ride,Machine resets after 35min so had to do 4 sessions,7024,50.21,,,false,,,,,9.0,7024.0,7024.0,50211.5,,7.149,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.149,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/4d3f08de-fdad-45b7-bc53-158380a7e8e7.jpg|media/f8bac847-54d6-4670-886f-8c0d973a4f24.jpg|media/98aca476-99d2-40ef-b7f2-3f8fb036125f.jpg|media/5e6872c9-f84e-42b1-8e28-8c2f52420461.jpg
18906738752,"Jun 13, 2026, 1:44:30 PM",Sub2 half with Founder's Run Club,Run,"",11437,21.12,,,false,,,activities/18906738752.gpx,,,11437.0,7109.0,21123.4,7.8,2.971,34.0,33.8,75.6,88.9,12.4,0.0,,,,,,,,,1457.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,21180.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1.847,273.1,,,,,0.0,,,,2.979,,,,,,,,,,,,media/ad02646e-8d42-48ee-aace-b1609c8b622d.jpg|media/c2bb9849-312e-4632-8935-52ef15d11ce5.jpg|media/d424851c-e4bb-4a54-95a6-5f6031483a3a.jpg|media/348d15f7-490b-43ac-a84c-621618d8848f.jpg|media/8ef3e8ab-ca49-4abc-90f3-7e17b3cd5f8d.jpg|media/53fd8363-8919-48a6-abdb-f134ba113d37.jpg
18897924376,"Jun 13, 2026, 2:44:41 AM",bike while completing security training 😅,Ride,First hour long. The machine resets after 35 minutes,3676,24.78,,,false,,,,,9.0,3676.0,3676.0,24783.9,,6.742,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.742,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/39a23dc0-3d88-4cd1-997c-58d62c9566af.jpg|media/bcd683d0-977f-4bfa-a93a-f6ecb1ae3d2c.jpg
18897650297,"Jun 12, 2026, 8:01:11 PM",Afternoon Walk,Walk,"",24112,26.09,,,false,,,activities/18897650297.gpx,,,24112.0,17133.0,26093.5,16.114,1.523,0.0,8.7,87.8,96.5,3.0,0.0,,,,,,,,,1795.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.082,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
18889766113,"Jun 12, 2026, 11:47:51 AM",Morning run after workout,Run,"",1216,3.21,,,false,,,,,,1216.0,1216.0,3218.7,,2.647,,,,,,0.0,,,,,,,,,221.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.647,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/02ca43da-8064-4246-9283-8d3d87173632.jpg
18885985963,"Jun 12, 2026, 3:28:22 AM",Whys biking hard,Ride,"",450,3.54,,,false,,,,,,450.0,450.0,3540.6,,7.868,0.0,,,,,0.0,,,,,,,,,244.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.868,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/7cc412ee-5996-4f8a-859f-eb8c8e705ab2.jpg
18881792917,"Jun 11, 2026, 6:16:02 PM",First lunch bike 🤔,Ride,"",1130,8.04,,,false,,,,,9.0,1130.0,1130.0,8046.7,,7.121,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.121,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/e0236fb6-b91b-449d-8894-7f666b109b70.jpg
18845061917,"Jun 9, 2026, 12:52:43 AM",Run through Nelson Street,Run,"",3891,8.55,,,false,,,activities/18845061917.gpx,,,3891.0,2899.0,8553.0,6.1,2.95,32.7,33.5,77.3,90.6,6.7,0.0,,,,,,,,,592.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,8600.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.198,108.7,,,,,0.0,,,,2.967,,,,,,,,,,,,media/b5a54961-44aa-4b62-9202-2e8718110ca2.jpg|media/2992a41e-7dda-49b3-8266-f9769875c2b8.jpg
18825076451,"Jun 7, 2026, 12:44:29 PM",Exploring downtown with parents,Run,"",5716,11.00,,,false,,,activities/18825076451.gpx,,,5716.0,4430.0,11007.4,9.74,2.485,17.7,11.5,76.0,93.9,7.9,0.1,,,,,,,,,759.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,11037.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1.926,474.2,,,,,0.0,,,,2.492,,,,,,,,,,,,media/1bf4a4b4-eb12-45c4-8b1a-8112c6ee2f25.jpg|media/6ef2e184-449e-4230-accb-55b59fb04122.jpg|media/e55eba67-e069-4c56-90a4-ae27c41a8f56.jpg|media/e4efab78-68ee-4a43-86cc-9b85255e78f8.jpg|media/d6ae6813-a410-4e3d-a60a-6b401ad0a4f1.jpg|media/193757f2-2264-41a5-af9f-860238067529.jpg
18817840240,"Jun 7, 2026, 1:15:04 AM",Night Run,Run,"",869,1.20,,,false,,,activities/18817840240.gpx,,,869.0,519.0,1208.6,3.88,2.329,3.7,3.1,84.8,88.7,7.1,0.1,,,,,,,,,84.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,1215.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1.391,30.2,,,,,0.0,,,,2.343,,,,,,,,,,,,media/76475465-d522-4fab-bc62-fc5bb1c09495.jpg
18817187433,"Jun 6, 2026, 9:27:46 PM",Afternoon Run,Run,"",967,1.66,,,false,,,activities/18817187433.gpx,,,967.0,797.0,1665.2,7.9,2.089,6.0,0.0,90.5,96.7,3.1,0.4,,,,,,,,,116.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,1679.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.722,0.0,,,,,0.0,,,,2.107,,,,,,,,,,,,""
18808174039,"Jun 6, 2026, 1:01:58 AM",Pist volleyball run with Duncan,Run,"",1677,4.50,,,false,,,activities/18808174039.gpx,,,1677.0,1344.0,4500.9,4.72,3.349,17.5,47.2,78.9,108.8,4.9,-0.7,,,,,,,,,308.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,4483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.684,0.0,,,,,0.0,,,,3.336,,,,,,,,,,,,""
18803485745,"Jun 5, 2026, 11:32:04 PM",Evening Run,Run,"",392,1.04,,,false,,,activities/18803485745.gpx,,,392.0,336.0,1042.8,5.9,3.104,4.0,5.8,105.7,111.6,3.5,-0.1,,,,,,,,,72.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,1044.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,0.0,,,,,0.0,,,,3.108,,,,,,,,,,,,""
18791829396,"Jun 5, 2026, 2:09:39 AM",+0.3g protein inhaled a bug,Run,"",1344,5.00,,,false,,,activities/18791829396.gpx,,,1344.0,1344.0,5004.4,4.7,3.724,3.0,8.0,105.7,111.6,2.2,-0.1,,,,,,,,,344.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,4997.7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.724,0.0,,,,,0.0,,,,3.719,,,,,,,,,,,,media/7266b854-f7b4-4187-bf4d-194d25f22f15.jpg
